Country,Australasia,Malaya,Newfoundland,North Yemen,Unified Team,United Arab Republic,Yugoslavia,West Indies Federation,West Germany,Argentina,Antigua and Barbuda,Armenia,Andorra,Bahrain,Angola,Algeria,Bahamas,Austria,Azerbaijan,Macedonia,Malawi,Nicaragua,Madagascar,Marshall Islands,Mauritania,San Marino,Sudan,Swaziland,Sweden,United Arab Emirates,Turkey,Turkmenistan,Tuvalu,Vietnam,Uganda,Ukraine,Zimbabwe,Yemen,Zambia,Uzbekistan,South Vietnam,Uruguay,Soviet Union,South Yemen,Serbia and Montenegro,Saar,Sao Tome and Principe,Romania,Suriname,Australia,American Samoa,Tunisia,Venezuela,Afghanistan,Vanuatu,Aruba,Switzerland,Kuwait,Trinidad and Tobago,Tonga,United States,Timor Leste,Rhodesia,Tanzania,Tajikistan,Solomon Islands,Somalia,South Africa,Syria,Slovakia,Sierra Leone,Singapore,South Korea,Spain,Serbia,Seychelles,North Borneo,Senegal,Thailand,Sri Lanka,Saint Vincent and the Grenadines,Netherlands Antilles,Saint Kitts and Nevis,Saint Lucia,Bulgaria,Gabon,Togo,Saudi Arabia,Samoa,Slovenia,Poland,Portugal,Russia,Nauru,Peru,Philippines,Palestine,Pakistan,North Korea,Rwanda,Papua New Guinea,Panama,Norway,Palau,Paraguay,Qatar,Morocco,Puerto Rico,Mozambique,Niger,Albania,Namibia,Montenegro,Myanmar,New Zealand,Nigeria,Nepal,Oman,Individual Olympic Athletes,Netherlands,Malta,Monaco,Moldova,Mongolia,Mali,Mauritius,Maldives,Malaysia,Mexico,Iraq,Lebanon,Lesotho,Italy,Liechtenstein,Jamaica,Libya,Kenya,Latvia,Liberia,Laos,Kazakhstan,Jordan,Hong Kong,Indonesia,Lithuania,Luxembourg,Honduras,Haiti,Iceland,Guyana,Guatemala,Kyrgyzstan,Iran,Japan,Kiribati,East Germany,Ireland,India,Israel,Hungary,Guam,Guinea,Czechoslovakia,Grenada,Guinea Bissau,Crete,Greece,Germany,Great Britain,Ghana,Georgia,Gambia,France,Ethiopia,Fiji,Ecuador,Finland,Egypt,Equatorial Guinea,Estonia,El Salvador,Cyprus,Denmark,Czech Republic,Djibouti,Eritrea,Cote d'Ivoire,Cuba,Dominica,Croatia,Cook Islands,Costa Rica,Federated States of Micronesia,Bohemia,Chile,Comoros,Congo Kinshasa,China,Chinese Taipei,Congo Brazzaville,Dominican Republic,Chad,Colombia,Cayman Islands,Central African Republic,Canada,Cambodia,Cape Verde,Cameroon,Burkina Faso,Burundi,British Virgin Islands,Brazil,Brunei,Bolivia,Botswana,Bermuda,Bosnia and Herzegovina,Barbados,Belize,Belgium,Benin,Belarus,Bhutan,Bangladesh,
iso2,,,,,,,,,,AR,AG,AM,AD,BH,AO,DZ,BS,AT,AZ,MK,MW,NI,MG,MH,MR,SM,SD,SZ,SE,AE,TR,TM,TV,VN,UG,UA,ZW,YE,ZM,UZ,,UY,,,,,ST,RO,SR,AU,AS,TN,VI,AF,VU,AW,CH,KW,TT,TO,US,TL,,TZ,TJ,SB,SO,ZA,SY,SK,SL,SG,KR,ES,RS,SC,,SN,TH,LK,VC,,KN,LC,BG,GA,TG,SA,WS,SI,PL,PT,RU,NR,PE,PH,PS,PK,KP,RW,PG,PA,NO,PW,PY,QA,MA,PR,MZ,NE,AL,NA,ME,MM,NZ,NG,NP,OM,,NL,MT,MC,MD,MN,ML,MU,MV,MY,MX,IQ,LB,LS,IT,LI,JM,LY,KE,LV,LR,LA,KZ,JO,HK,ID,LT,LU,HN,HT,IS,GY,GT,KG,IR,JP,KI,,IE,IN,IL,HU,GU,GN,,GD,GW,,GR,DE,GB,GH,GE,GM,FR,ET,FJ,EC,FI,EG,GQ,EE,SV,CY,DK,CZ,DJ,ER,CI,CU,DM,HR,CK,CR,FM,,CL,KM,CD,CN,TW,CG,DO,TD,CO,KY,CF,CA,KH,CV,CM,BF,BI,VG,BR,BN,BO,BW,BM,BA,BB,BZ,BE,BJ,BY,BT,BD,
iso3,,,,,,,,,,ARG,ATG,ARM,AND,BHR,AGO,DZA,BHS,AUT,AZE,MKD,MWI,NIC,MDG,MHL,MRT,SMR,SDN,SWZ,SWE,ARE,TUR,TKM,TUV,VNM,UGA,UKR,ZWE,YEM,ZMB,UZB,,URY,,,,,STP,ROU,SUR,AUS,ASM,TUN,VIR,AFG,VUT,ABW,CHE,KWT,TTO,TON,USA,TLS,,TZA,TJK,SLB,SOM,ZAF,SYR,SVK,SLE,SGP,KOR,ESP,SRB,SYC,,SEN,THA,LKA,VCT,,KNA,LCA,BGR,GAB,TGO,SAU,WSM,SVN,POL,PRT,RUS,NRU,PER,PHL,PSE,PAK,PRK,RWA,PNG,PAN,NOR,PLW,PRY,QAT,MAR,PRI,MOZ,NER,ALB,NAM,MNE,MMR,NZL,NGA,NPL,OMN,,NLD,MLT,MCO,MDA,MNG,MLI,MUS,MDV,MYS,MEX,IRQ,LBN,LSO,ITA,LIE,JAM,LBY,KEN,LVA,LBR,LAO,KAZ,JOR,HKG,IDN,LTU,LUX,HND,HTI,ISL,GUY,GTM,KGZ,IRN,JPN,KIR,,IRL,IND,ISR,HUN,GUM,GIN,,GRD,GNB,,GRC,DEU,GBR,GHA,GEO,GMB,FRA,ETH,FJI,ECU,FIN,EGY,GNQ,EST,SLV,CYP,DNK,CZE,DJI,ERI,CIV,CUB,DMA,HRV,COK,CRI,FSM,,CHL,COM,COD,CHN,TWN,COG,DOM,TCD,COL,CYM,CAF,CAN,KHM,CPV,CMR,BFA,BDI,VGB,BRA,BRN,BOL,BWA,BMU,BIH,BRB,BLZ,BEL,BEN,BLR,BTN,BGD,
iso number,,,,,,,,,,032,028,051,020,048,024,012,044,040,031,807,454,558,450,584,478,674,729,748,752,784,792,795,798,704,800,804,716,887,894,860,,858,,,,,678,642,740,036,016,788,850,004,548,533,756,414,780,776,840,626,,834,762,090,706,710,760,703,694,702,410,724,688,690,,686,764,144,670,,659,662,100,266,768,682,882,705,616,620,643,520,604,608,275,586,408,646,598,591,578,585,600,634,504,630,508,562,008,516,499,104,554,566,524,512,,528,470,492,498,496,466,480,462,458,484,368,422,426,380,438,388,434,404,428,430,418,398,400,344,360,440,442,340,332,352,328,320,417,364,392,296,,372,356,376,348,316,324,,308,624,,300,276,826,288,268,270,250,231,242,218,246,818,226,233,222,196,208,203,262,232,384,192,212,191,184,188,583,,152,174,180,156,158,178,214,148,170,136,140,124,116,132,120,854,108,092,076,096,068,072,060,070,052,084,056,204,112,064,050,
Latitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Level,,,,,,,,,,High income: nonOECD,High income: nonOECD,Lower middle income,High income: nonOECD,High income: nonOECD,Upper middle income,Upper middle income,High income: nonOECD,High income: OECD,Upper middle income,Upper middle income,Low income,Lower middle income,Low income,Upper middle income,Lower middle income,High income: nonOECD,Lower middle income,Lower middle income,High income: OECD,High income: nonOECD,Upper middle income,Upper middle income,Upper middle income,Lower middle income,Low income,Lower middle income,Low income,Lower middle income,Lower middle income,Lower middle income,,High income: nonOECD,,,,,Lower middle income,Upper middle income,Upper middle income,High income: OECD,Upper middle income,Upper middle income,High income: nonOECD,Low income,Lower middle income,High income: nonOECD,High income: OECD,High income: nonOECD,High income: nonOECD,Upper middle income,High income: OECD,Lower middle income,,Low income,Lower middle income,Lower middle income,Low income,Upper middle income,Lower middle income,High income: OECD,Low income,High income: nonOECD,High income: OECD,High income: OECD,Upper middle income,High income: nonOECD,,Lower middle income,Upper middle income,Lower middle income,Upper middle income,,High income: nonOECD,Upper middle income,Upper middle income,Upper middle income,Low income,High income: nonOECD,Lower middle income,High income: OECD,High income: OECD,High income: OECD,High income: nonOECD,,Upper middle income,Lower middle income,Lower middle income,Lower middle income,Low income,Low income,Lower middle income,Upper middle income,High income: OECD,Upper middle income,Upper middle income,High income: nonOECD,Lower middle income,High income: nonOECD,Low income,Low income,Upper middle income,Upper middle income,Upper middle income,Lower middle income,High income: OECD,Lower middle income,Low income,High income: nonOECD,,High income: OECD,High income: nonOECD,High income: nonOECD,Lower middle income,Upper middle income,Low income,Upper middle income,Upper middle income,Upper middle income,Upper middle income,Upper middle income,Upper middle income,Lower middle income,High income: OECD,High income: nonOECD,Upper middle income,Upper middle income,Lower middle income,High income: nonOECD,Low income,Lower middle income,Upper middle income,Upper middle income,High income: nonOECD,Lower middle income,High income: nonOECD,High income: OECD,Lower middle income,Low income,High income: OECD,Lower middle income,Lower middle income,Lower middle income,Upper middle income,High income: OECD,Lower middle income,,High income: OECD,Lower middle income,High income: OECD,High income: OECD,High income: nonOECD,Low income,,Upper middle income,Low income,,High income: OECD,High income: OECD,High income: OECD,Lower middle income,Lower middle income,Low income,High income: OECD,Low income,Upper middle income,Upper middle income,High income: OECD,Lower middle income,High income: nonOECD,High income: OECD,Lower middle income,High income: nonOECD,High income: OECD,High income: OECD,Lower middle income,Low income,Lower middle income,Upper middle income,Upper middle income,High income: nonOECD,,Upper middle income,Lower middle income,,High income: OECD,Low income,Low income,Upper middle income,High income: nonOECD,Lower middle income,Upper middle income,Low income,Upper middle income,High income: nonOECD,Low income,High income: OECD,Low income,Lower middle income,Lower middle income,Low income,Low income,,Upper middle income,High income: nonOECD,Lower middle income,Upper middle income,High income: nonOECD,Upper middle income,High income: nonOECD,Upper middle income,High income: OECD,Low income,Upper middle income,Lower middle income,Lower middle income,
Land Area,,,,,,,,,,2736690,440,28470,470,770,1246700,2381740,10010,82531,82659,25220,94280,120340,581800,180,1030700,60,2376000,17200,407340,83600,769630,469930,30,310070,200520,579320,386850,527970,743390,425400,,175020,,,,,960,230030,156000,7682300,200,155360,350,652860,12190,180,39516,17820,5130,720,9147420,14870,,885800,139960,27990,627340,1213090,183630,48088,72180,707,97466,500210,87460,455,,192530,510890,62710,390,,260,610,108560,257670,54390,2149690,2830,20140,306210,91600,16376870,,1280000,298170,6020,770880,120410,24670,452860,74340,365245,460,397300,11610,446300,8870,786380,1266700,27400,823290,13450,653080,263310,910770,143350,309500,,33670,320,2,32880,1553560,1220190,2030,300,328550,1943950,434320,10230,30360,294140,160,10830,1759540,569140,62190,96320,230800,2699700,88780,1050,1811570,62675,2590,111890,27560,100250,196850,107160,191800,1628550,364560,810,,68890,2973190,21640,90530,540,245720,,340,28120,,128900,348540,241930,227540,69490,10120,547557,1000000,18270,248360,303890,995450,28050,42390,20720,9240,42430,77230,23180,101000,318000,106449,750,55960,,51060,700,,743532,1861,2267050,9388211,,341500,48320,1259200,1109500,240,622980,9093510,176520,4030,472710,273600,25680,,8358140,5270,1083300,566730,50,51200,430,22810,30280,112760,202910,38117,130170,
tGDP,,,,,,,,,,604378456915.58,1204713111.11111,10619320048.5857,3146177740.6367,30756462765.9574,125491841418.556,209047389599.67,8234470000,407373026611.605,68730906313.6456,9745251126.0109,4240491999.38982,10460339389.3836,9919780071.28764,184439555.469872,4845165274.15849, ,62688889672.5441,4912817411.9638,543880647757.404,373429543907.42,788863301670.379,35164210526.3158,39875750.6730172,155820001920.492,23236898742.1315,175781379051.433,12392715461.9891,32074766834.7453,24939314028.7141,51183443224.9939,,51384870651.1999,,,,,265592759.78986,172043567268.324,4980000000,1537477830480.51, ,45131250400.1537, ,20536542736.7297,781702874.106058, ,665408300271.743,174070025008.932,24580844842.603,457244315.207909,16163158000000,1295000000,,39087748240.4403,7633036366.03545,1025124684.35864, ,397386418270.402, ,93049721684.1235,3740395424.17499,289935584540.29,1222807195712.49,1339946773437.24,40742313861.1374,1134239543.19907,,14045681414.3657,397471809439.856,68434422593.7553,692933757.407407,,731919906.037037,1311133139.59259,53576670827.8581,17171447372.3334,3915776459.27121,733955733333.333,804163067.661301,46239992124.6554,500227851988.331,216368178659.447,2016112133645.48,,192679697094.166,250092093547.532,11262141134.3655,224646134571.4, ,7219657132.21544,15391629871.3765,37956200000,509704856037.817,215815865.5917,24611039786.132,190289835164.835,98266306615.3632,101080738000,14534278446.3087,6942209594.55433,12319784787.1422,13016447844.0926,4087725812.66864,74690930782.389,174141818314.596,460953836444.364,18851513891.066,76341482444.7334,,828946812396.788,8882509103.82705, ,7284686576.2835,12292770631.23,10340795746.5385,11445657237.9368,2514041557.49376,314442825692.826,1184499844413.23,217968837559.845,43205095854.063,2384043848.96468,2074631555455.23,5487773452.44017,14746420946.1737,81905365776.3335,50410164013.5527,28023276371.5791,1735500000,9359185244.24597,203517198088.691,30937277605.6338,262629441493.476,917869913364.916,42852204396.452,55986712367.7993,18528601901.324,7890216507.68913,14194519025.2641,2851149182.58764,50388460222.6307,6605139933.41063,587209369682.666,5954476603961.52,174984468.834127,,224652132155.012,1831781515472.09,259613579190.332,127176184359.093, ,5667229758.9878,,799882130,958857944.224704,,245670666639.047,3539615377794.51,2630472981169.65,41939728978.7281,15846474595.773,912569686.7859,2681416108537.39,43310721414.0829,3977652382.81468,87924544000,256706466091.089,276353323880.224,18011041667.1319,23135266649.1325,23813600000,24940600822.1062,322276544469.312,206441578342.485,1353632941.5207, ,27040562587.1771,73139050000,485185185.185185,56485301967.4205,,45300669857.48,325835160.290555,,265231582107.399,550476566.060452,27463220379.9945,8461623162714.07,,13677930123.5919,60595109805.116,12368070168.9723,369659700375.52, ,2169706564.05899,1832715597431.65,14038383450.186,1751888561.72747,26472056037.7696,11166061507.8024,2472384906.99793,,2460658440428.04,16953505121.6389,27084497539.7974,14792386725.4663,5537537000,17207368282.7487,4313000000,1573867300,497780014247.465,8117100933.52537,63615445566.8483,1823692109.61652,133355749482.478,
tPopulation,,,,,,,,,,42095224,89069,2978339,79316,1333577,22685632,37439427,372388,8429991,9295784,2069270,15700436,5877034,22293720,52663,3777067,31172,37712420,1231694,9519374,8952542,74099255,5172941,9860,88809200,35400620,45593300,14565482,24882792,14786581,29774500,,3396753,,,,,178484,20058035,528535,22728254,55227,10777500,105275,29726803,247498,102393,7996861,3419581,1341579,104769,314112078,1148958,,48645709,7930929,549162,10033630,52341695,21427155,5407579,6043157,5312437,50004441,46773055,7199077,88303,,13780108,67164130,20424000,109334,,53650,180890,7305888,1613489,6745581,29496047,188901,2057159,38063164,10514844,143201676,,30158768,96017322,4046901,177392252,24763353,10817350,7154870,3743761,5018573,20756,6379162,2015624,32984190,3642281,25732928,17635782,2900489,2291645,620601,52543841,4408100,168240403,27500515,3545192,,16754962,419455,37404,3559519,2808339,16112333,1255882,385000,29021940,122070963,32780975,4440728,2057331,59539717,36791,2707805,6283403,42542978,2034319,4190155,6473050,16791425,6318000,7154600,248037853,2987773,530946,7736131,10288828,320716,758410,15368759,5607200,76156975,127561489,106620,,4586897,1263589639,7910500,9920362,162807,11628767,,105476,1714620,,11045011,80425823,63700300,25544565,3825000,1807108,65639975,92191211,874158,15419493,5413971,85660902,773729,1322696,6072233,1129303,5591572,10510785,853069,4892233,21102641,11342631,71685,4267558,,4654148,103516,,17388437,733661,70291160,1350695000,,4286188,10155036,12715465,46881018,57522,4619500,34751476,14832255,500870,21659488,16590813,10124572,,202401584,405512,10238762,2132822,64798,3828419,281580,336707,11128246,10049792,9464000,743711,155257387,
co2,,,,,,,,,,48815.104,36.67, , ,575.719,550.05,6160.56,410.704,30821.135, , , ,531.715,399.703, ,36.67, ,1360.457,33.003,49222.141,11.001,16820.529, , ,7491.681,421.705, , ,3633.997, , ,,4319.726,,,,,11.001,53450.192,432.706,88202.351, ,1727.157, ,414.371, , ,19523.108,7803.376,2581.568,11.001,2890696.1, ,,828.742, ,11.001,84.341,97934.569,3223.293, ,715.065,1393.46,12552.141,48928.781, , ,,828.742,3714.671,2258.872,11.001,,11.001,14.668,22295.36,132.012,66.006,2676.91,14.668, ,199767.159,8225.081, ,,8173.743,8335.091, ,14154.62, ,106.343,179.683,997.424,13102.191,14.668,304.361,176.016,3641.331, ,1884.838,29.336,2024.184, , ,2717.247,11543.716,3406.643,80.674, ,,73505.015,341.031, , ,1294.451,121.011,179.683, , ,63116.404,8265.418,2581.568, ,109357.274, ,1470.467,693.063,2427.554, ,165.015,80.674, ,744.401,2955.602,21404.279, ,11518.047,616.056,286.026,1213.777,660.06,1345.789, ,37392.399,232781.16, ,,11180.683,120581.961,6468.588,45371.791, ,410.704,,22.002,18.335,,9405.855, ,584299.78,1463.133, ,18.335,271218.654,352.032,194.351,1763.827,15104.373,16054.126,22.002, ,619.723,887.414,29779.707, ,40.337, ,462.042,13699.912,11.001, ,,491.378, ,,13490.893,11.001,2321.211,780726.302, ,223.687,1041.428,55.005,16409.825,11.001,88.008,192895.201,234.688,22.002,271.358,44.004, ,,46908.264,333.697,1004.758, ,157.681, ,172.349,44.004,91000.272,161.348, , , ,
