Year,Host,City,Latitude,Longitude,Start Date,End Date,Nations,Women,Men,Total,Sports,Disciplines,Events
2012,London,London,51.5,-0.125,1/25/24,2/25/24,16,11,247,258,6,9,16
2008,Beijing,Beijing,39.904,116.408,2/11/28,2/19/28,25,26,438,464,4,8,14
2004,Athens,Athina,37.979,23.716,2/4/32,2/15/32,17,21,231,252,4,7,14
2000,Sydney,Sydney,-33.867,151.207,2/6/36,2/16/36,28,80,566,646,4,8,17
1996,Atlanta,Atlanta,33.748,-84.387,,,,,,,,,
1992,Barcelona,Barcelona,41.387,2.169,,,,,,,,,
1988,Seoul,Seoul,37.566,126.977,1/30/48,2/8/48,28,77,592,669,4,9,22
1984,Los Angeles,Los Angeles,34.051,-118.243,2/14/52,2/25/52,30,109,585,694,4,8,22
1980,Moscow,Moskva,55.755,37.617,1/26/56,2/5/56,32,134,687,821,4,8,24
1976,Montreal,Montreal,45.545,-73.587,2/18/60,2/28/60,30,144,521,665,4,8,27
1972,Munchen,M™nchen,48.138,11.58,1/29/64,2/9/64,36,199,892,1091,6,10,34
1968,Mexico City,Ciudad de M_xico,19.427,-99.127,2/6/68,2/18/68,37,211,947,1158,6,10,35
1964,Tokyo,Tokyo,35.689,139.691,2/3/72,2/13/72,35,205,801,1006,6,10,35
1960,Rome,Roma,41.895,12.482,2/4/76,2/15/76,37,231,892,1123,6,10,37
1956,Melbourne,Melbourne,-37.814,144.963,2/13/80,2/24/80,37,232,840,1072,6,10,38
1952,Helsinki,Helsinki,60.17,24.939,2/8/84,2/19/84,49,274,998,1272,6,10,39
1948,London,London,51.05,-114.0667,2/13/88,2/28/88,57,301,1122,1423,6,10,46
1936,Berlin,Berlin,52.523,13.411,2/8/92,2/23/92,64,488,1313,1801,6,12,57
1932,Los Angeles,Los Angeles,34.051,-118.243,2/12/94,2/27/94,67,522,1215,1737,6,12,61
1928,Amsterdam,Amsterdam,36.6333,138.1833,2/7/98,2/22/98,72,787,1389,2176,6,14,68
1924,Paris,Paris,48.856,2.35,2/8/02,2/24/02,78,866,1513,2379,6,15,78
1920,Antwerp,Antwerpen,51.22,4.399,2/10/06,2/26/06,80,960,1548,2508,6,15,84
1912,Stockholm,Stockholm,59.332,18.064,2/12/10,2/28/10,82,1044,1522,2566,6,15,86
1908,London,London,51.5,-0.125,2/7/14,2/23/14,92,,,,7,15,98
1906,Athens,Athina,40.75,37.979,23.716,2/24/02,78,866,1513,2379,6,15,78
1904,St. Louis,St. Louis,38.6,-90.22,2/10/06,2/26/06,80,960,1548,2508,6,15,84
1900,Paris,Paris,48.856,2.35,2/12/10,2/28/10,82,1044,1522,2566,6,15,86
1896,Athens,Athina,43.5853,37.979,23.716,2/23/14,92,,,,7,15,98
