Year,Host,City,Latitude,Longitude,Start Date,End Date,Nations,Women,Men,Total,Sports,Disciplines,Events
2012,London,London,51.5,-0.125,1/25/24,2/25/24,16,11,247,258,6,9,16
2008,Beijing,Beijing,39.904,116.408,2/11/28,2/19/28,25,26,438,464,4,8,14
2004,Athens,Athina,37.979,23.716,2/4/32,2/15/32,17,21,231,252,4,7,14
2000,Sydney,Sydney,47.5,11.0833,2/6/36,2/16/36,28,80,566,646,4,8,17
1996,Atlanta,Atlanta,,,,,,,,,,,
1992,Barcelona,Barcelona,,,,,,,,,,,
1988,Seoul,Seoul,46.5,9.8333,1/30/48,2/8/48,28,77,592,669,4,9,22
1984,Los Angeles,Los Angeles,59.95,10.75,2/14/52,2/25/52,30,109,585,694,4,8,22
1980,Moscow,Moskva,46.5333,12.1333,1/26/56,2/5/56,32,134,687,821,4,8,24
1976,Montreal,Montr_al,39.1882,-120.2639,2/18/60,2/28/60,30,144,521,665,4,8,27
1972,Munchen,Mônchen,47.2667,11.3833,1/29/64,2/9/64,36,199,892,1091,6,10,34
1968,Mexico City,Ciudad de M_xico,45.20002,5.7222,2/6/68,2/18/68,37,211,947,1158,6,10,35
1964,Tokyo,Tokyo,43.0667,141.35,2/3/72,2/13/72,35,205,801,1006,6,10,35
1960,Rome,Roma,47.2667,11.3833,2/4/76,2/15/76,37,231,892,1123,6,10,37
1956,Melbourne,Melbourne,44.2856,-73.9853,2/13/80,2/24/80,37,232,840,1072,6,10,38
1952,Helsinki,Helsinki,43.8476,18.3564,2/8/84,2/19/84,49,274,998,1272,6,10,39
1948,London,London,51.05,-114.0667,2/13/88,2/28/88,57,301,1122,1423,6,10,46
1936,Berlin,Berlin,45.6767,6.3933,2/8/92,2/23/92,64,488,1313,1801,6,12,57
1932,Los Angeles,Los Angeles,61.13,10.4325,2/12/94,2/27/94,67,522,1215,1737,6,12,61
1928,Amsterdam,Amsterdam,36.6333,138.1833,2/7/98,2/22/98,72,787,1389,2176,6,14,68
1924,Paris,Paris,40.75,-111.8833,2/8/02,2/24/02,78,866,1513,2379,6,15,78
1920,Antwerp,Antwerpen,46.0667,7.7,2/10/06,2/26/06,80,960,1548,2508,6,15,84
1912,Stockholm,Stockholm,49.25,-123.1,2/12/10,2/28/10,82,1044,1522,2566,6,15,86
1908,London,London,51.5,-0.125,2/7/14,2/23/14,92,,,,7,15,98
1906,Athens,Athina,40.75,37.979,23.716,2/24/02,78,866,1513,2379,6,15,78
1904,St. Louis,St. Louis,46.0667,7.7,2/10/06,2/26/06,80,960,1548,2508,6,15,84
1900,Paris,Paris,49.25,-123.1,2/12/10,2/28/10,82,1044,1522,2566,6,15,86
1896,Athens,Athina,43.5853,37.979,23.716,2/23/14,92,,,,7,15,98
